otu_id	^ot:ottTaxonName	^ot:ottId	^ncbi:taxon	^ncbi:accession	^physcraper:last_blasted	^physcraper:ingroup	^physcraper:status	^ot:originalLabel	^ncbi:title	^physcraper:in_current_aln
otu252394	Homo sapiens	770315	9606	-	None	False	original	Homo_sapiens	-	True
otu252393	Epicrionops marmoratus	498529	194403	-	None	True	deleted from tree in reconciliation	Epicrionops_marmoratus	-	False
otu252392	Epicrionops niger	1034980	650640	-	None	True	deleted from tree in reconciliation	Epicrionops_niger	-	False
otu252391	Rhinatrema bivittatum	498516	194408	-	None	True	original	Rhinatrema_bivittatum	-	True
otu252388	Ichthyophis tricolor	227115	194527	-	None	True	deleted from tree in reconciliation	Ichthyophis_tricolor	-	False
otu252387	Ichthyophis orthoplicatus	377557	194414	-	None	True	original	Ichthyophis_orthoplicatus	-	True
otu252386	Ichthyophis glutinosus	377548	194415	-	None	True	original	Ichthyophis_glutinosus	-	True
otu252384	Ichthyophis bannanicus	639649	8453	-	None	True	original	Ichthyophis_bannanicus	-	True
otu252385	Caudacaecilia asplenia	831466	420444	-	None	True	original	Caudacaecilia_asplenia	-	True
otu252389	Ichthyophis bombayensis	1006491	406260	-	None	True	deleted from tree in reconciliation	Ichthyophis_bombayensis	-	False
otu252390	Uraeotyphlus narayani	498527	194402	-	None	True	original	Uraeotyphlus_narayani	-	True
otu252381	Scolecomorphus vittatus	927973	261001	-	None	True	original	Scolecomorphus_vittatus	-	True
otu252382	Scolecomorphus uluguruensis	927975	261000	-	None	True	original	Scolecomorphus_uluguruensis	-	True
otu252383	Crotaphatrema tchabalmbaboensis	3617816	0	-	None	True	deleted from tree in reconciliation	Crotaphatrema_tchabalmbaboensis	-	False
otu252377	Boulengerula taitana	42297	102246	-	None	True	original	Boulengerula_taitana	-	True
otu252378	Boulengerula uluguruensis	540094	356194	-	None	True	original	Boulengerula_uluguruensis	-	True
otu252379	Boulengerula boulengeri	568509	260983	-	None	True	original	Boulengerula_boulengeri	-	True
otu252380	Herpele squalostoma	197735	118254	-	None	True	original	Herpele_squalostoma	-	True
otu252357	Schistometopum thomense	282218	420425	-	None	True	original	Schistometopum_thomense	-	True
otu252358	Schistometopum gregorii	568513	260982	-	None	True	original	Schistometopum_gregorii	-	True
otu252356	Gymnopis multiplicata	374602	449092	-	None	True	deleted from tree in reconciliation	Gymnopis_multiplicata	-	False
otu252355	Dermophis parviceps	923513	543902	-	None	True	deleted from tree in reconciliation	Dermophis_parviceps	-	False
otu252354	Dermophis oaxacae	1080069	377260	-	None	True	original	Dermophis_oaxacae	-	True
otu252353	Dermophis mexicanus	197730	118251	-	None	True	original	Dermophis_mexicanus	-	True
otu252359	Geotrypetes seraphini	283388	260995	-	None	True	original	Geotrypetes_seraphini	-	True
otu252361	Siphonops paulensis	346703	320580	-	None	True	original	Siphonops_paulensis	-	True
otu252360	Siphonops annulatus	254549	320579	-	None	True	original	Siphonops_annulatus	-	True
otu252362	Siphonops hardyi	346706	320581	-	None	True	deleted from tree in reconciliation	Siphonops_hardyi	-	False
otu252363	Luetkenotyphlus brasiliensis	346709	320582	-	None	True	original	Luetkenotyphlus_brasiliensis	-	True
otu252371	Gegeneophis ramaswamii	227120	194526	-	None	True	deleted from tree in reconciliation	Gegeneophis_ramaswamii	-	False
otu252370	Gegeneophis seshachari	152078	508865	-	None	True	deleted from tree in reconciliation	Gegeneophis_seshachari	-	False
otu252369	Hypogeophis rostratus	639657	8450	-	None	True	original	Hypogeophis_rostratus	-	True
otu252367	Grandisonia alternans	118051	8448	-	None	True	deleted from tree in reconciliation	Grandisonia_alternans	-	False
otu252366	Grandisonia brevis	353479	441555	-	None	True	deleted from tree in reconciliation	Grandisonia_brevis	-	False
otu252364	Grandisonia sechellensis	353471	441557	-	None	True	deleted from tree in reconciliation	Grandisonia_sechellensis	-	False
otu252365	Grandisonia larvata	353475	441556	-	None	True	deleted from tree in reconciliation	Grandisonia_larvata	-	False
otu252368	Praslinia cooperi	780047	420423	-	None	True	original	Praslinia_cooperi	-	True
otu252376	Chthonerpeton indistinctum	154777	420416	-	None	True	original	Chthonerpeton_indistinctum	-	True
otu252375	Typhlonectes natans	639644	8456	-	None	True	original	Typhlonectes_natans	-	True
otu252372	Oscaecilia ochrocephala	923515	543905	-	None	True	deleted from tree in reconciliation	Oscaecilia_ochrocephala	-	False
otu252373	Caecilia volcani	923510	543901	-	None	True	deleted from tree in reconciliation	Caecilia_volcani	-	False
otu252374	Caecilia tentaculata	540102	356198	-	None	True	original	Caecilia_tentaculata	-	True
otu252300	Siren lacertina	242638	307977	-	None	True	original	Siren_lacertina	-	True
otu252301	Siren intermedia	991553	8341	-	None	True	original	Siren_intermedia	-	True
otu252302	Pseudobranchus axanthus	242685	307979	-	None	True	deleted from tree in reconciliation	Pseudobranchus_axanthus	-	False
otu252303	Pseudobranchus striatus	242679	307978	-	None	True	deleted from tree in reconciliation	Pseudobranchus_striatus	-	False
otu252197	Amphiuma tridactylum	566034	8313	-	None	True	original	Amphiuma_tridactylum	-	True
otu252196	Amphiuma pholeter	401988	294361	-	None	True	original	Amphiuma_pholeter	-	True
otu252195	Amphiuma means	566026	8312	-	None	True	original	Amphiuma_means	-	True
otu252177	Karsenia koreana	893552	322013	-	None	True	original	Karsenia_koreana	-	True
otu252176	Phaeognathus hubrichti	319473	52110	-	None	True	original	Phaeognathus_hubrichti	-	True
otu252175	Desmognathus wrighti	964132	52108	-	None	True	original	Desmognathus_wrighti	-	True
otu252174	Desmognathus folkertsi	453546	279537	-	None	True	deleted from tree in reconciliation	Desmognathus_folkertsi	-	False
otu252173	Desmognathus quadramaculatus	964115	52105	-	None	True	original	Desmognathus_quadramaculatus	-	True
otu252172	Desmognathus marmoratus	893907	52102	-	None	True	deleted from tree in reconciliation	Desmognathus_marmoratus	-	False
otu252170	Desmognathus imitator	964104	52101	-	None	True	deleted from tree in reconciliation	Desmognathus_imitator	-	False
otu252171	Desmognathus aeneus	188622	52096	-	None	True	original	Desmognathus_aeneus	-	True
otu252161	Desmognathus ochrophaeus	964119	52104	-	None	True	deleted from tree in reconciliation	Desmognathus_ochrophaeus	-	False
otu252160	Desmognathus orestes	733895	179531	-	None	True	deleted from tree in reconciliation	Desmognathus_orestes	-	False
otu252162	Desmognathus ocoee	306162	179530	-	None	True	deleted from tree in reconciliation	Desmognathus_ocoee	-	False
otu252159	Desmognathus apalachicolae	534313	43046	-	None	True	deleted from tree in reconciliation	Desmognathus_apalachicolae	-	False
otu252158	Desmognathus conanti	22089	52099	-	None	True	deleted from tree in reconciliation	Desmognathus_conanti	-	False
otu252157	Desmognathus santeetlah	964109	52106	-	None	True	deleted from tree in reconciliation	Desmognathus_santeetlah	-	False
otu252166	Desmognathus planiceps	549600	407057	-	None	True	deleted from tree in reconciliation	Desmognathus_planiceps	-	False
otu252163	Desmognathus auriculatus	188621	52097	-	None	True	deleted from tree in reconciliation	Desmognathus_auriculatus	-	False
otu252164	Desmognathus fuscus	964106	52100	-	None	True	original	Desmognathus_fuscus	-	True
otu252165	Desmognathus welteri	893908	52107	-	None	True	deleted from tree in reconciliation	Desmognathus_welteri	-	False
otu252167	Desmognathus brimleyorum	22090	52098	-	None	True	original	Desmognathus_brimleyorum	-	True
otu252168	Desmognathus carolinensis	880990	179529	-	None	True	deleted from tree in reconciliation	Desmognathus_carolinensis	-	False
otu252169	Desmognathus monticola	964102	52103	-	None	True	original	Desmognathus_monticola	-	True
otu252183	Aneides aeneus	914891	154577	-	None	True	original	Aneides_aeneus	-	True
otu252182	Aneides hardii	366563	154580	-	None	True	original	Aneides_hardii	-	True
otu252181	Aneides lugubris	64142	57541	-	None	True	original	Aneides_lugubris	-	True
otu252180	Aneides flavipunctatus	459362	154579	-	None	True	original	Aneides_flavipunctatus	-	True
otu252179	Aneides vagrans	823670	336204	-	None	True	original	Aneides_vagrans	-	True
otu252178	Aneides ferreus	459361	154578	-	None	True	original	Aneides_ferreus	-	True
otu252184	Ensatina eschscholtzii	637537	57550	-	None	True	original	Ensatina_eschscholtzii	-	True
otu252192	Hydromantes platycephalus	637546	57556	-	None	True	original	Hydromantes_platycephalus	-	True
otu252193	Hydromantes brunus	637521	57553	-	None	True	original	Hydromantes_brunus	-	True
