otu_id	^ot:ottTaxonName	^ot:ottId	^ncbi:taxon	^ncbi:accession	^physcraper:last_blasted	^physcraper:ingroup	^physcraper:status	^ot:originalLabel	^ncbi:title	^physcraper:in_current_aln
otu261052	Hypocryptadius cinnamomeus	840030	589841	-	None	False	original	Hypocryptadius_cinnamomeus_KUNHM_19117	-	True
otu261262	Acrocephalus australis	1010420	68484	-	None	False	original	Acrocephalus_australis_KUNHM_19430	-	True
otu261291	Pnoepyga pusilla	252763	634347	-	None	False	original	Pnoepyga_pusilla_KUNHM_15250	-	True
otu261208	Pnoepyga albiventer	975545	634345	-	None	False	original	Pnoepyga_albiventer_AMNH_DOT5558	-	True
otu261161	Pnoepyga albiventer	975545	634345	-	None	False	original	Pnoepyga_albiventer_KUNHM_15196	-	True
otu261204	Phylloscopus cebuensis	720201	163865	-	2021/12/02	True	original	Phylloscopus_cebuensis_KUNHM_20262	-	True
otu261309	Macronous ptilosus	634833	589849	-	2021/12/02	True	original	Macronous_ptilosus_KUNHM_12325	-	True
otu261104	Macronous ptilosus	634833	589849	-	2021/12/02	True	original	Macronous_ptilosus_LSUMNS_B36391	-	True
otu261115	Macronous striaticeps	290853	237424	-	2021/12/02	True	original	Macronous_striaticeps_KUNHM_14130	-	True
otu261180	Macronous striaticeps	290853	237424	-	2021/12/02	True	original	Macronous_striaticeps_FMNH_357464	-	True
otu261090	Stachyris chrysaea	174119	181628	-	2021/12/02	True	original	Stachyris_chrysaea_KUNHM_15240	-	True
otu261044	Stachyris chrysaea	174119	181628	-	2021/12/02	True	original	Stachyris_chrysaea_KUNHM_15096	-	True
otu261301	Stachyris pyrrhops	453420	1006752	-	2021/12/02	True	original	Stachyris_pyrrhops_AMNH_778719	-	True
otu261303	Stachyris ambigua	546763	932031	-	2021/12/02	True	original	Stachyris_ambigua_USNM_6152	-	True
otu261217	Stachyris ambigua	546763	932031	-	2021/12/02	True	original	Stachyris_ambigua_USNM_6183	-	True
otu261294	Stachyris rufifrons	697087	181632	-	2021/12/02	True	original	Stachyris_rufifrons_LSUMNS_B36462	-	True
otu261239	Stachyris ruficeps	697082	181631	-	2021/12/02	True	original	Stachyris_ruficeps_KUNHM_11083	-	True
otu261312	Stachyris ruficeps	697082	181631	-	2021/12/02	True	original	Stachyris_ruficeps_KUNHM_6645	-	True
otu261258	Stachyris erythroptera	265350	589857	-	2021/12/02	True	original	Stachyris_erythroptera_LSUMNS_B36417	-	True
otu261195	Stachyris erythroptera	265350	589857	-	2021/12/02	True	original	Stachyris_erythroptera_KUNHM_12327	-	True
otu261071	Stachyris melanothorax	453415	1006750	-	2021/12/02	True	original	Stachyris_melanothorax_AMNH_448000	-	True
otu261152	Dumetia hyperythra	353127	634296	-	2021/12/02	True	original	Dumetia_hyperythra_AMNH_388637	-	True
otu261193	Rhopocichla atriceps	840093	1149666	-	2021/12/02	True	original	Rhopocichla_atriceps_AMNH_344476	-	True
otu261122	Macronous gularis	19368	1948886	-	2021/12/02	True	original	Macronous_gularis_AMNH_DOT10805	-	True
otu261142	Macronous gularis	19368	1948886	-	2021/12/02	True	original	Macronous_gularis_KUNHM_17726	-	True
otu261216	Timalia pileata	31186	201367	-	2021/12/02	True	original	Timalia_pileata_FMNH_218211	-	True
otu261308	Timalia pileata	31186	201367	-	2021/12/02	True	original	Timalia_pileata_FMNH_236339	-	True
otu261214	Stachyris grammiceps	446191	1149669	-	2021/12/02	True	original	Stachyris_grammiceps_LSUMNS_B45463	-	True
otu261314	Stachyris nigricollis	1022691	1149675	-	2021/12/02	True	original	Stachyris_nigricollis_LSUMNS_B38564	-	True
otu261048	Stachyris nigricollis	1022691	1149675	-	2021/12/02	True	original	Stachyris_nigricollis_KUNHM_12330	-	True
otu261106	Stachyris strialata	381510	634353	-	2021/12/02	True	original	Stachyris_striolata_KUNHM_10136	-	True
otu261292	Stachyris strialata	381510	634353	-	2021/12/02	True	original	Stachyris_striolata_KUNHM_10003	-	True
otu261053	Stachyris oglei	980004	1118843	-	2021/12/02	True	original	Stachyris_oglei_KUNHM_15189	-	True
otu261170	Stachyris thoracica	453422	1006753	-	2021/12/02	True	original	Stachyris_thoracica_AMNH_589844	-	True
otu261162	Stachyris leucotis	1022701	1149670	-	2021/12/02	True	original	Stachyris_leucotis_LSUMNS_B36340	-	True
otu261264	Sphenocichla humei	641427	1149678	-	2021/12/02	True	original	Sphenocichla_humei_KUNHM_15201	-	True
otu261047	Sphenocichla humei	641427	1149678	-	2021/12/02	True	original	Sphenocichla_humei_KUNHM_15202	-	True
otu261034	Stachyris poliocephala	26183	135977	-	2021/12/02	True	original	Stachyris_poliocephala_LSUMNS_B36426	-	True
otu261285	Stachyris poliocephala	26183	135977	-	2021/12/02	True	original	Stachyris_poliocephala_LSUMNS_B47008	-	True
otu261134	Stachyris nigriceps	697085	181630	-	2021/12/02	True	original	Stachyris_nigriceps_KUNHM_10167	-	True
otu261169	Stachyris nigriceps	697085	181630	-	2021/12/02	True	original	Stachyris_nigriceps_LSUMNS_B36288	-	True
otu261141	Stachyris maculata	180849	1149672	-	2021/12/02	True	original	Stachyris_maculata_LSUMNS_B36423	-	True
otu261296	Pomatorhinus erythrogenys	773110	0	-	2021/12/02	True	original	Pomatorhinus_erythrogenys_AMNH_DOT5179	-	True
otu261259	Pomatorhinus swinhoei	1073084	1149652	-	2021/12/02	True	original	Pomatorhinus_swinhoei_KUNHM_6715	-	True
