acc: XM_023222765.2, len: 3756
acc: XM_023222764.2, len: 3740
acc: XM_011933089.1, len: 3572
acc: XM_011933087.1, len: 3758
acc: XM_011933086.1, len: 3933
acc: XM_033198199.1, len: 3756
acc: XM_033198198.1, len: 3673
acc: XM_007977438.2, len: 3930
acc: XM_030936383.1, len: 3766
acc: XM_017869807.1, len: 3935
acc: XM_012653347.1, len: 3244
acc: XM_012653346.1, len: 3309
acc: XM_012653345.1, len: 3359
acc: XM_007996949.2, len: 3614
acc: XM_012653348.1, len: 3069
acc: XM_008073520.2, len: 3571
acc: XM_012086907.1, len: 3592
acc: XM_012086906.1, len: 3480
acc: XM_012086905.1, len: 3484
acc: XM_012086904.1, len: 3415
acc: XM_002762181.5, len: 3842
acc: XM_002762180.5, len: 3640
acc: XM_024237140.1, len: 3424
acc: XM_030797080.1, len: 3598
acc: XM_030797079.1, len: 3434
acc: XM_030797078.1, len: 3626
acc: XM_032172746.1, len: 3597
acc: XM_032172744.1, len: 3433
acc: XM_032172743.1, len: 3625
acc: XM_012758469.2, len: 3530
acc: XM_004060817.3, len: 3595
acc: XM_032249224.1, len: 3591
acc: XM_032249223.1, len: 3624
acc: XM_032249222.1, len: 3599
acc: XM_008067400.2, len: 3440
acc: XM_012749181.1, len: 5210
acc: XM_023518936.1, len: 3448
acc: XM_003799462.1, len: 3618
acc: XM_003799461.1, len: 3579
acc: XM_008058723.2, len: 5162
acc: XM_012661888.1, len: 3313
acc: XM_012761812.1, len: 3756
acc: XM_012807645.1, len: 3747
acc: XM_004027077.2, len: 5457
acc: XM_012658471.1, len: 3739
acc: XM_010358994.2, len: 3592
acc: XM_017849810.1, len: 3400
acc: XM_017849809.1, len: 3247
acc: XM_004026412.3, len: 3764
acc: XM_031008868.1, len: 3928
acc: XM_016924989.2, len: 3741
acc: XM_009428528.1, len: 3570
acc: XM_513679.5, len: 3759
acc: XM_034929861.1, len: 3677
acc: XM_032154887.1, len: 3770
acc: XM_003268035.3, len: 3769
acc: XM_017503097.2, len: 3591
acc: XM_017503096.2, len: 3624
acc: XM_039466116.1, len: 3586
acc: XM_016934232.2, len: 3701
acc: XM_016934231.2, len: 3592
acc: XM_016934229.2, len: 3631
acc: XM_021930363.2, len: 3592
acc: XM_005589417.2, len: 3597
acc: XM_017524196.1, len: 3770
acc: XM_032249629.1, len: 3776
acc: NM_001266673.1, len: 3484
