otu_id	^ot:ottTaxonName	^ot:ottId	^ncbi:taxon	^ncbi:accession	^physcraper:last_blasted	^physcraper:ingroup	^physcraper:status	^ot:originalLabel	^ncbi:title	^physcraper:in_current_aln
otu315924	Sphenodon punctatus	35890	8508	-	None	False	original	Sphenodon_punctatus	-	True
otu315925	Dinodon semicarinatum	4121296	0	-	2022/03/02	True	original	Dinodon_semicarinatus	-	True
otu315938	Ovophis okinavensis	130705	8769	-	2022/03/02	True	original	Ovophis_okinavensis	-	True
otu315934	Ramphotyphlops bicolor	372253	261711	-	2022/03/02	True	original	Ramphotyyphlops_bicolor	-	True
otu315920	Xantusia vigilis	139521	8547	-	2022/03/02	True	original	Xantusia_vigilis	-	True
otu315944	Anelytropsis papillosus	491018	405597	-	2022/03/02	True	original	Anelytropsis_papillosus	-	True
otu315923	Dibamus sp. MCB-2004	686912	293406	-	2022/03/02	True	original	Dibamus_sp.	-	True
otu315927	Plestiodon egregius	741766	463521	-	2022/03/02	True	original	Eumeces_egregious	-	True
otu315943	Acanthodactylus erythrurus	418798	111511	-	2022/03/02	True	original	Acanthodactylus_erythrurus	-	True
otu315932	Podarcis hispanica	968467	74081	-	2022/03/02	True	original	Podarcis_hispanica	-	True
otu315937	Atlantolacerta andreanskyi	614725	651308	-	2022/03/02	True	original	Lacerta_andreanski	-	True
otu315946	Ameiva plei	153486	253934	-	2022/03/02	True	original	Ameiva_plei	-	True
otu315929	Gymnophthalmus speciosus	58578	88866	-	2022/03/02	True	original	Gymnophthalmus_speciosus	-	True
otu315931	Geocalamus acutus	1098646	261498	-	2022/03/02	True	original	Geocalamus_acutus	-	True
otu315935	Bipes canaliculatus	916642	273521	-	2022/03/02	True	original	Bipes_canaliculatus	-	True
otu315942	Amphisbaena schmidti	341676	273519	-	2022/03/02	True	original	Amphisbaena_schmidti	-	True
otu315928	Smaug warreni	376024	885424	-	2022/03/02	True	original	Cordylus_warreni	-	True
otu315936	Varanus komodoensis	1091028	61221	-	2022/03/02	True	original	Varanus_komodensis	-	True
otu315922	Crotaphytus collaris	244476	43591	-	2022/03/02	True	original	Crotaphytus_collaris	-	True
otu315919	Gambelia wislizenii	244470	43593	-	2022/03/02	True	original	Gambelia_wislizenii	-	True
otu315921	Iguana iguana	608972	8517	-	2022/03/02	True	original	Iguana_iguana	-	True
otu315926	Sceloporus virgatus	917788	43639	-	2022/03/02	True	original	Sceloporus_virgatus	-	True
otu315918	Pogona vitticeps	913382	103695	-	2022/03/02	True	original	Pogona_vitticeps	-	True
otu315945	Furcifer labordi	583325	143473	-	2022/03/02	True	original	Furcifer_labordi	-	True
otu315939	Chamaeleo africanus	824524	91906	-	2022/03/02	True	original	Chamaleo_africanus	-	True
otu315930	Abronia graminea	720695	278977	-	2022/03/02	True	original	Abronia_graminea	-	True
otu315933	Xenosaurus platyceps	491076	405598	-	2022/03/02	True	original	Xenosaurus_platyceps	-	True
otu315917	Shinisaurus crocodilurus	651194	52224	-	2022/03/02	True	original	Shinisaurus_crocodilurus	-	True
otu315940	Rhacodactylus trachyrhynchus	391885	96724	-	2022/03/02	True	original	Rhacodactylus_trachyrynchus	-	True
otu315941	Eublepharis macularius	662992	481883	-	2022/03/02	True	original	Eublepharis_maculatus	-	True
otuPS1	Furcifer labordi	583325	143473	AF215264.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Furcifer labordi 16S ribosomal RNA gene, partial sequence; mitochondrial	False
otuPS2	Furcifer labordi	583325	143473	HF570450.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Furcifer labordi mitochondrial partial 16S rRNA gene, specimen voucher ZFMK:68616	False
otuPS3	Furcifer antimena	883228	617157	FJ717753.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Furcifer antimena isolate M38 16S ribosomal RNA gene, partial sequence; mitochondrial<>Furcifer antimena isolate M39 16S ribosomal RNA gene, partial sequence; mitochondrial	False
otuPS4	Furcifer antimena	883228	617157	FJ717754.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Furcifer antimena isolate M38 16S ribosomal RNA gene, partial sequence; mitochondrial<>Furcifer antimena isolate M39 16S ribosomal RNA gene, partial sequence; mitochondrial	False
otuPS5	Furcifer lateralis	796844	179926	HQ130531.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Furcifer lateralis voucher FGMV 2002.65 16S ribosomal RNA gene, partial sequence	False
otuPS6	Furcifer verrucosus	796870	179928	HF570458.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Furcifer verrucosus mitochondrial partial 16S rRNA gene, specimen voucher ZSM:40/2004	False
otuPS7	Furcifer oustaleti	796849	179927	HF570452.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Furcifer oustaleti mitochondrial partial 16S rRNA gene	False
otuPS8	Furcifer nicosiai	197236	1175237	HF570451.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Furcifer nicosiai mitochondrial partial 16S rRNA gene, specimen voucher ZSM:2/2006	False
otuPS9	Furcifer major	299935	1199147	MH063284.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Furcifer major voucher FAZC 14672 16S ribosomal RNA gene, partial sequence; mitochondrial	False
otuPS10	Furcifer minor	592339	181670	AF378380.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Furcifer minor 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product	False
otuPS11	Chamaeleo africanus	824524	91906	AF121955.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Chamaeleo africanus isolate ZFMK 65568 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product	False
otuPS12	Chamaeleo africanus	824524	91906	DQ397217.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Chamaeleo africanus isolate ZFMK76119 16S ribosomal RNA gene, partial sequence; mitochondrial	False
otuPS13	Chamaeleo africanus	824524	91906	DQ397216.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Chamaeleo africanus isolate ZFMK76124 16S ribosomal RNA gene, partial sequence; mitochondrial	False
otuPS14	Chamaeleo africanus	824524	91906	DQ397215.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Chamaeleo africanus isolate ZFMK76112 16S ribosomal RNA gene, partial sequence; mitochondrial	False
otuPS15	Chamaeleo africanus	824524	91906	DQ397214.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Chamaeleo africanus isolate ZFMK76122 16S ribosomal RNA gene, partial sequence; mitochondrial	False
otuPS16	Chamaeleo africanus	824524	91906	AF121960.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Chamaeleo africanus isolate ZFMK 65651 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product	False
otuPS17	Chamaeleo africanus	824524	91906	HF570439.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Chamaeleo africanus mitochondrial partial 16S rRNA gene, specimen voucher MVZ 238898	False
otuPS18	Tympanocryptis tetraporophora	281874	206609	EF081041.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Tympanocryptis tetraporophora isolate E105.13_ZFMK_83839 16S ribosomal RNA gene, partial sequence; mitochondrial	False
otuPS19	Ctenophorus maculatus maculatus	6156980	1772119	KT120381.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Ctenophorus maculatus maculatus isolate CM53 16S ribosomal RNA gene, partial sequence; mitochondrial	False
otuPS20	Ctenophorus maculatus maculatus	6156980	1772119	KT120380.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Ctenophorus maculatus maculatus isolate CM49 16S ribosomal RNA gene, partial sequence; mitochondrial	False
otuPS21	Ctenophorus maculatus maculatus	6156980	1772119	KT120379.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Ctenophorus maculatus maculatus isolate CM48 16S ribosomal RNA gene, partial sequence; mitochondrial	False
otuPS22	Iguana iguana	608972	8517	AB028756.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Iguana iguana mitochondrial gene for 16S rRNA, partial sequence	False
otuPS23	Amblyrhynchus cristatus	240153	51208	KR350859.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Amblyrhynchus cristatus isolate SRS1203 16S ribosomal RNA gene, partial sequence; mitochondrial	False
otuPS24	Amblyrhynchus cristatus	240153	51208	KR350857.1	None	True	Not within requested MRCA                                                                            ncbi:42163	-	Amblyrhynchus cristatus isolate SRPC1212 16S ribosomal RNA gene, partial sequence; mitochondrial	False
