acc: DQ890216.1, len: 810
acc: DQ890217.1, len: 810
acc: DQ890218.1, len: 810
acc: DQ890285.1, len: 475
acc: DQ457266.1, len: 513
acc: DQ241798.1, len: 15500
acc: AY318928.1, len: 810
acc: AY318924.1, len: 810
acc: DQ890231.1, len: 810
acc: DQ890233.1, len: 810
acc: AY318929.1, len: 810
acc: DQ890286.1, len: 476
acc: DQ890287.1, len: 476
acc: DQ890232.1, len: 810
acc: DQ890230.1, len: 810
acc: AY318916.1, len: 810
acc: AY318915.1, len: 810
acc: DQ890265.1, len: 810
acc: AY318925.1, len: 810
acc: DQ890263.1, len: 810
acc: AY318926.1, len: 810
acc: AY318931.1, len: 810
acc: DQ890264.1, len: 807
acc: AY318927.1, len: 810
acc: MN612063.1, len: 791
acc: MN612054.1, len: 790
acc: DQ890219.1, len: 810
acc: DQ890220.1, len: 810
acc: DQ890221.1, len: 803
acc: DQ890223.1, len: 810
acc: DQ890222.1, len: 807
acc: DQ890224.1, len: 810
acc: MN612062.1, len: 789
acc: DQ890227.1, len: 810
acc: DQ890228.1, len: 810
acc: DQ890225.1, len: 810
acc: DQ890226.1, len: 810
acc: DQ890229.1, len: 807
acc: DQ890249.1, len: 810
acc: DQ890252.1, len: 810
acc: DQ890247.1, len: 810
acc: DQ890246.1, len: 810
acc: DQ890248.1, len: 810
acc: AY318932.1, len: 810
acc: MN612053.1, len: 787
acc: AY318942.1, len: 810
acc: AY318941.1, len: 810
acc: AY318917.1, len: 810
acc: AY318920.1, len: 810
acc: AY318919.1, len: 810
acc: AY318918.1, len: 810
acc: DQ890235.1, len: 794
acc: DQ890234.1, len: 794
acc: AY318935.1, len: 810
acc: DQ890236.1, len: 807
acc: AY318934.1, len: 810
acc: DQ890240.1, len: 810
acc: DQ890243.1, len: 810
acc: DQ890237.1, len: 810
acc: DQ890238.1, len: 810
acc: DQ890244.1, len: 810
acc: DQ890245.1, len: 810
acc: DQ890239.1, len: 810
acc: DQ890242.1, len: 810
acc: DQ890241.1, len: 810
acc: AY318936.1, len: 810
acc: AY318933.1, len: 810
acc: DQ890250.1, len: 808
acc: DQ890251.1, len: 810
acc: AY318940.1, len: 810
acc: AY318939.1, len: 810
acc: AY318937.1, len: 810
acc: DQ890255.1, len: 810
acc: AY318938.1, len: 810
acc: DQ890253.1, len: 810
acc: DQ890254.1, len: 799
acc: AY318930.1, len: 810
acc: DQ890279.1, len: 807
acc: DQ890256.1, len: 810
acc: DQ890257.1, len: 807
acc: MN612056.1, len: 791
acc: MN612055.1, len: 782
acc: DQ890258.1, len: 810
acc: DQ890259.1, len: 810
acc: DQ890260.1, len: 788
acc: DQ890261.1, len: 790
acc: DQ890262.1, len: 810
acc: DQ890280.1, len: 810
acc: MN612058.1, len: 789
acc: MN612061.1, len: 791
acc: MN612060.1, len: 787
acc: MN612059.1, len: 785
acc: AY318921.1, len: 810
acc: DQ890276.1, len: 810
acc: AY318922.1, len: 810
acc: AY318923.1, len: 810
acc: DQ890278.1, len: 810
acc: DQ890268.1, len: 810
acc: DQ890274.1, len: 810
acc: DQ890269.1, len: 794
acc: DQ890272.1, len: 810
acc: DQ890273.1, len: 810
acc: DQ890267.1, len: 810
acc: DQ890270.1, len: 810
acc: DQ890275.1, len: 810
acc: DQ890266.1, len: 810
acc: DQ890271.1, len: 810
acc: DQ890277.1, len: 793
