acc: KJ702766.1, len: 1143
acc: KJ702768.1, len: 1143
acc: KJ702769.1, len: 1143
acc: KJ702761.1, len: 1143
acc: KJ702765.1, len: 1143
acc: KJ702762.1, len: 1143
acc: KJ702764.1, len: 1143
acc: KJ702763.1, len: 1143
acc: KJ702770.1, len: 1143
acc: KJ702767.1, len: 1143
acc: KJ702753.1, len: 1143
acc: JN827006.1, len: 967
acc: KX376475.1, len: 17788
acc: MK599010.1, len: 1102
acc: JN827202.1, len: 967
acc: JN827009.1, len: 967
acc: KX831093.1, len: 17913
acc: MN854345.1, len: 1143
acc: MN854341.1, len: 1143
acc: JF756765.1, len: 1143
acc: JN827008.1, len: 967
acc: JN827003.1, len: 967
acc: GU724398.1, len: 1143
acc: KJ456509.1, len: 1053
acc: KJ456330.1, len: 1143
acc: GU724380.1, len: 1143
acc: JN827229.1, len: 967
acc: GU724381.1, len: 1143
acc: JN826999.1, len: 1143
acc: JN827000.1, len: 1143
acc: JN826468.1, len: 1041
acc: JN826469.1, len: 1041
acc: FJ460770.1, len: 1041
acc: MG546334.1, len: 1041
acc: DQ861984.1, len: 1023
acc: EF154807.1, len: 1041
acc: MG546333.1, len: 1041
acc: MG546335.1, len: 1041
acc: EF154808.1, len: 1041
acc: DQ861957.1, len: 1023
acc: JN827001.1, len: 967
acc: JN827002.1, len: 967
acc: JN826476.1, len: 1041
acc: JN826475.1, len: 1041
acc: DQ861966.1, len: 1023
acc: DQ861965.1, len: 1023
acc: JN826471.1, len: 1041
acc: EF154803.1, len: 1041
acc: EF154800.1, len: 1041
acc: EF154801.1, len: 1041
acc: EF154802.1, len: 1041
acc: DQ861953.1, len: 1023
acc: JF756839.1, len: 1029
acc: EF154792.1, len: 1041
acc: JN827004.1, len: 1143
acc: JN826472.1, len: 1041
acc: EF154783.1, len: 1041
acc: EF154784.1, len: 1041
acc: EF154819.1, len: 1041
acc: EF154820.1, len: 1041
acc: EF154818.1, len: 1041
acc: EF154785.1, len: 1041
acc: EF154825.1, len: 1041
acc: EF154826.1, len: 1041
acc: JN827005.1, len: 1143
acc: MK599037.1, len: 1124
acc: MK599042.1, len: 1099
acc: MK599025.1, len: 1099
acc: MK599011.1, len: 1099
acc: MK599041.1, len: 1102
acc: MK599026.1, len: 1099
acc: MK599012.1, len: 1102
acc: MK599024.1, len: 1099
acc: MK599013.1, len: 1099
acc: EF154810.1, len: 1041
acc: DQ861956.1, len: 1023
acc: EF154791.1, len: 1041
acc: EF154790.1, len: 1041
acc: EF154788.1, len: 1041
acc: EF154787.1, len: 1041
acc: EF154786.1, len: 1041
acc: EF154813.1, len: 1041
acc: EF154814.1, len: 1041
acc: DQ861943.1, len: 1023
acc: KJ702751.1, len: 1143
acc: KJ702755.1, len: 1143
acc: KJ702752.1, len: 1143
acc: KJ456361.1, len: 1143
acc: JN827109.1, len: 1143
acc: JN827096.1, len: 1143
acc: JN827238.1, len: 1143
acc: JN827228.1, len: 1143
acc: GU724476.1, len: 1041
acc: JN827105.1, len: 1143
acc: JF756759.1, len: 1143
